doi_type,doi,title,citation_count
biorxiv_doi,10.1101/2025.02.03.636242,Machine Learning-Based Tumor Segmentation and Classification Using Dynamic Optical Contrast Imaging (DOCI) for Thyroid Cancer,0
published_doi,10.1117/1.BIOS.3.1.015001,Machine Learning-Based Tumor Segmentation and Classification Using Dynamic Optical Contrast Imaging (DOCI) for Thyroid Cancer,0
biorxiv_doi,10.1101/2025.08.12.669914,Longitudinal three-photon imaging for tracking amyloid plaques and vascular degeneration in a mouse model of Alzheimer's disease,
published_doi,10.1117/1.JBO.31.1.016004,Longitudinal three-photon imaging for tracking amyloid plaques and vascular degeneration in a mouse model of Alzheimer's disease,0
biorxiv_doi,10.1101/2025.09.29.679119,Oxidation and allocation of nectar amino acids during butterfly flight,0
published_doi,10.1242/jeb.251674,Oxidation and allocation of nectar amino acids during butterfly flight,
biorxiv_doi,10.1101/2024.10.25.620274,Generation of T cells with reduced off-target cross-reactivities by engineering co-signalling receptors,2
published_doi,10.1038/s41551-025-01563-w,Generation of T cells with reduced off-target cross-reactivities by engineering co-signalling receptors,1
biorxiv_doi,10.1101/2024.03.04.582839,LDL-Binding IL-10 Reduces Vascular Inflammation in Atherosclerotic Mice,2
published_doi,10.1038/s41551-025-01573-8,LDL-Binding IL-10 Reduces Vascular Inflammation in Atherosclerotic Mice,0
biorxiv_doi,10.1101/2022.03.28.486070,A novel cis-element enabled bacterial uptake by plant cells,
published_doi,10.1038/s41477-025-02161-z,A novel cis-element enabled bacterial uptake by plant cells,20
biorxiv_doi,10.1101/2025.10.10.681551,Somatostatin-expressing neurons regulate sleep deprivation and recovery,0
published_doi,10.3390/genes17010051,Somatostatin-expressing neurons regulate sleep deprivation and recovery,
biorxiv_doi,10.1101/2025.02.16.638511,Glutamatergic heterogeneity in the neuropeptide projections from the lateral hypothalamus to the mouse olfactory bulb,0
published_doi,10.1002/cne.70118,Glutamatergic heterogeneity in the neuropeptide projections from the lateral hypothalamus to the mouse olfactory bulb,0
biorxiv_doi,10.1101/2024.11.01.621525,"Differential destinations, dynamics, and functions of high- and low-order features in the feedback signal during object processing",
published_doi,10.7554/eLife.103788.3,"Differential destinations, dynamics, and functions of high- and low-order features in the feedback signal during object processing",
biorxiv_doi,10.1101/2025.07.11.664370,Single-cell transcriptomics reveal alveolar macrophages-specific responses in single-hit ozone exposure model in mice,0
published_doi,10.1152/ajplung.00235.2025,Single-cell transcriptomics reveal alveolar macrophages-specific responses in single-hit ozone exposure model in mice,0
biorxiv_doi,10.1101/2025.06.13.659551,Susceptible host dynamics explain pathogen resilience to perturbations,0
published_doi,10.1073/pnas.2517518122,Susceptible host dynamics explain pathogen resilience to perturbations,0
biorxiv_doi,10.1101/2025.06.10.658509,Shouldering the challenge of deciphering avian palate evolution,
published_doi,10.1073/pnas.2514111123,Shouldering the challenge of deciphering avian palate evolution,3
biorxiv_doi,10.1101/2025.07.09.664001,Sticky Interactions Govern Sequence-Dependent Dynamics in Biomolecular Condensates,4
published_doi,10.1073/pnas.2518384122,Sticky Interactions Govern Sequence-Dependent Dynamics in Biomolecular Condensates,0
biorxiv_doi,10.1101/2025.06.20.660802,Modeling and Inferring Metacommunity Dynamics with Maximum Caliber,1
published_doi,10.1073/pnas.2520867123,Modeling and Inferring Metacommunity Dynamics with Maximum Caliber,
biorxiv_doi,10.1101/2025.05.22.655651,"Mechanical compression induces neuronal apoptosis, reduces synaptic activity, and promotes glial neuroinflammation in mice and humans",0
