word_count;sentence_count;flesch_reading_ease;gunning_fog;flesch_kincaid_grade;avg_sentence_length;avg_letter_per_word;lexicon_count;figure_count;table_count;section_count;reference_count;doi;preprint_date;preprint_category;published_doi;published_flag;citation_count;influential_citation_count;semantic_year;semantic_journal;status
7523;317;23.87268866779908;19.063965057025;15.79779328102672;23.621451104100945;5.533386752136752;7488;4;0;25.0;59.0;10.1101/056440;2016-06-01;Neuroscience;;0;5.0;1.0;2016.0;bioRxiv;200
5153;299;33.053495098196976;15.92392181018343;12.88061072742639;17.03344481605351;5.440212055762812;5093;6;0;12.0;50.0;10.1101/056671;2016-06-02;Neuroscience;;0;1.0;0.0;2016.0;bioRxiv;200
8157;364;34.98090250464003;17.06614439442293;13.839464531280695;21.975274725274726;5.2291536442055255;7999;9;2;30.0;69.0;10.1101/057323;2016-06-06;Neuroscience;;0;0.0;0.0;2017.0;bioRxiv;200
6090;253;24.06960367801949;18.773268745775905;15.805453993199372;23.76284584980237;5.669328010645376;6012;8;0;23.0;94.0;10.1101/057406;2016-06-06;Neuroscience;;0;14.0;1.0;2016.0;bioRxiv;200
6256;300;32.93045813953489;16.912330749354005;13.793740826873384;20.64;5.441052971576228;6192;6;4;29.0;61.0;10.1101/057588;2016-06-07;Neuroscience;;0;0.0;0.0;2016.0;bioRxiv;200
9308;466;34.60141217743512;16.06050683462172;13.379825072259257;19.912017167381972;5.306067464166397;9279;10;3;27.0;73.0;10.1101/057620;2016-06-07;Neuroscience;;0;1.0;0.0;2017.0;bioRxiv;200
1769;83;27.67961829196741;17.11786489104777;14.684402979983355;21.27710843373494;5.455266138165346;1766;5;0;4.0;13.0;10.1101/057679;2016-06-07;Neuroscience;;0;0.0;0.0;2016.0;bioRxiv;200
11124;454;29.052974758899893;17.999555502639204;15.280917966424578;24.449339207048457;5.321351351351352;11100;9;0;25.0;40.0;10.1101/057729;2016-06-07;Neuroscience;;0;3.0;0.0;2016.0;bioRxiv;200
3147;139;24.81095229380884;17.622696755155495;15.41960151433702;22.62589928057554;5.439427662957074;3145;14;4;23.0;60.0;10.1101/058685;2016-06-13;Neuroscience;;0;6.0;1.0;2016.0;bioRxiv;200
9463;470;38.33976043863783;15.414184943241937;12.854358070703556;19.895744680851063;5.237621644743878;9351;5;0;19.0;91.0;10.1101/058693;2016-06-13;Neuroscience;;0;1.0;0.0;2016.0;bioRxiv;200
4698;252;29.20547889456748;17.03659176333793;13.815182931775777;18.63492063492064;5.406729131175468;4696;6;0;19.0;56.0;10.1101/058727;2016-06-13;Neuroscience;;0;2.0;0.0;2016.0;bioRxiv;200
9304;414;32.12628952663658;17.74239982705148;14.35658079523061;22.45410628019324;5.156734079173838;9296;9;0;26.0;81.0;10.1101/058776;2016-06-13;Neuroscience;;0;21.0;3.0;2016.0;bioRxiv;200
4511;226;34.48470424597801;16.7203335254442;13.394876865458794;19.9070796460177;5.385418981995999;4499;7;3;23.0;53.0;10.1101/059683;2016-06-17;Neuroscience;;0;8.0;1.0;2016.0;bioRxiv;200
2729;148;18.80655124809195;18.66159947322738;15.183427888020915;18.304054054054053;5.622369878183831;2709;2;2;11.0;29.0;10.1101/060764;2016-06-26;Neuroscience;;0;0.0;0.0;2016.0;bioRxiv;200
4372;214;36.87312868572613;15.946001310480396;13.149832827533883;20.261682242990656;5.153367158671586;4336;3;2;16.0;36.0;10.1101/060830;2016-06-27;Neuroscience;;0;2.0;1.0;2016.0;bioRxiv;200
5881;278;34.01145100302014;16.622780956122472;13.75205784860167;21.07913669064748;5.286860068259386;5860;5;4;13.0;57.0;10.1101/061119;2016-06-28;Neuroscience;;0;69.0;1.0;2017.0;Psychiatry research;200
4352;196;22.872017522863104;19.147228838380745;15.553565450446415;22.0765306122449;5.685694476542639;4327;7;0;22.0;58.0;10.1101/061762;2016-07-02;Neuroscience;;0;2.0;0.0;2016.0;bioRxiv;200
3022;163;36.397926929768346;15.81004995472535;12.77770086174445;18.496932515337424;5.372139303482587;3015;10;3;17.0;21.0;10.1101/061820;2016-07-03;Neuroscience;;0;11.0;0.0;2016.0;bioRxiv;200
1709;84;37.07889907135879;15.884443513475771;13.13005969836615;20.297619047619047;5.317888563049854;1705;4;1;22.0;21.0;10.1101/062042;2016-07-04;Neuroscience;;0;4.0;1.0;2016.0;bioRxiv;200
3410;163;24.715429038854808;18.059986366734837;14.955849670529428;20.70552147239264;5.686222222222222;3375;5;0;24.0;31.0;10.1101/062885;2016-07-08;Neuroscience;;0;0.0;0.0;2016.0;bioRxiv;200
11942;605;38.9526709394502;15.424256944487826;12.71551874964862;19.68099173553719;5.205761316872428;11907;10;9;50.0;97.0;10.1101/063719;2016-07-13;Neuroscience;;0;1.0;0.0;2016.0;bioRxiv;200
7700;630;48.04852152028542;12.9541181738088;9.591103644005376;12.21111111111111;5.39776420122189;7693;12;0;29.0;67.0;10.1101/065169;2016-07-21;Neuroscience;;0;1.0;0.0;2016.0;bioRxiv;200
5004;226;21.78862131533714;19.22434300347333;15.720840743334538;22.141592920353983;5.7685851318944845;5004;4;0;24.0;57.0;10.1101/066142;2016-07-26;Neuroscience;;0;1.0;0.0;2016.0;bioRxiv;200
3194;142;33.2046876889317;17.774894198257908;14.130092590519272;22.14788732394366;5.41335453100159;3145;2;0;13.0;26.0;10.1101/066159;2016-07-26;Neuroscience;;0;0.0;0.0;2016.0;bioRxiv;200
7372;414;43.22834652454532;15.030588496619146;11.640935877796377;17.756038647342994;5.11508638280506;7351;10;0;24.0;39.0;10.1101/066217;2016-07-27;Neuroscience;;0;30.0;3.0;2016.0;bioRxiv;200
7099;357;34.74120489780071;16.86074825969992;13.333472834678428;19.80392156862745;5.342574257425743;7070;9;0;18.0;45.0;10.1101/066282;2016-07-27;Neuroscience;;0;0.0;0.0;2016.0;bioRxiv;200
9062;557;43.7774049717776;14.022550467534826;11.18653165774295;16.235188509874327;5.202698219617384;9043;9;6;26.0;84.0;10.1101/067389;2016-08-02;Neuroscience;;0;5.0;1.0;2016.0;bioRxiv;200
5135;243;28.13453949274134;17.4872347070713;14.53472941941811;20.93004115226337;5.397955171057806;5086;3;3;15.0;47.0;10.1101/067553;2016-08-21;Neuroscience;;0;6.0;1.0;2016.0;bioRxiv;200
3442;177;30.93196200181228;17.36457364686542;13.74928197586615;19.338983050847457;5.677183756938359;3423;5;1;11.0;40.0;10.1101/069179;2016-08-11;Neuroscience;;0;228.0;10.0;2016.0;bioRxiv;200
5301;328;30.943901069316667;16.33629064253462;12.854498403582024;15.74390243902439;5.674670797831139;5164;5;2;22.0;132.0;10.1101/069617;2016-08-15;Neuroscience;;0;0.0;0.0;2016.0;bioRxiv;200
6095;386;32.113669249398185;15.82864896096503;12.698968210746129;15.77461139896373;5.641648875020529;6089;6;0;23.0;77.0;10.1101/070672;2016-08-22;Neuroscience;;0;2.0;0.0;2016.0;bioRxiv;200
6811;317;28.502364631657088;17.739265169790315;14.612871775839675;21.45110410094637;5.427205882352941;6800;8;0;16.0;72.0;10.1101/070821;2016-08-21;Neuroscience;;0;4.0;0.0;2016.0;bioRxiv;200
2064;102;36.45479784475776;16.85616593744936;13.184577053962084;20.166666666666668;5.182304326689353;2057;4;0;8.0;21.0;10.1101/071977;2016-08-28;Neuroscience;;0;2.0;0.0;2016.0;bioRxiv;200
10155;445;31.875276516553782;17.41580362036324;14.455749382728404;22.7123595505618;5.179281685960226;10107;10;1;25.0;53.0;10.1101/072173;2016-08-29;Neuroscience;;0;28.0;3.0;2016.0;bioRxiv;200
3735;228;44.09693697009942;13.757983274148067;11.081356786095796;15.991228070175438;5.297312122874383;3646;5;0;17.0;38.0;10.1101/073130;2016-09-02;Neuroscience;;0;3.0;1.0;2016.0;bioRxiv;200
5514;290;42.15395752471625;15.406367252111773;12.058707155393378;18.83448275862069;5.270413767850604;5462;7;0;17.0;44.0;10.1101/073163;2016-09-02;Neuroscience;;0;50.0;1.0;2016.0;Frontiers in Cellular Neuroscience;200
